case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_004,1,1,5,capls,c0,0,0.057,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.35}",True,
case_004,1,1,5,capls,c1,0,0.039,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.15}",False,
case_004,1,1,5,capls,c2,0,0.043,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_004,1,1,5,capls,c3,0,0.039,0.096,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_004,1,1,5,capls,c4,0,0.042,0.178,True,247003,12165120,12165120,0,12957696,,,111,392357,,1.5884705853775056,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_004,1,1,5,capls,c5,0,0.049,0.178,True,247003,12165120,12165120,0,12957696,,,111,392357,,1.5884705853775056,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_004,1,1,5,capls,c6,0,0.04,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_004,1,1,5,capls,c7,0,0.053,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.08}",False,
case_004,1,1,5,capls,c8,0,0.196,0.354,True,183435,5332992,5332992,0,6125568,,,11,392357,,2.1389429498187367,"{""block_cap"": 0.005}",False,
case_004,1,1,5,capls,c9,0,0.052,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.35, ""max_ops"": 2000}",False,
case_004,1,1,5,capls,c10,0,0.036,0.099,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""cores_used"": 4}",False,
case_004,1,1,5,capls,c11,0,0.019,0.197,True,199074,110592,110592,0,903168,,,2,392357,,1.9709103147573264,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_004,1,1,5,capls,c12,0,0.053,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_004,1,1,5,capls,c13,0,0.054,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_004,1,1,5,capls,sa1,0,0.139,0.134,True,88838,1185792,1185792,0,1978368,,,6,392357,,4.416544721853261,"{""anneal"": true, ""anneal_seconds"": 0.542}",False,
case_004,1,1,5,capls,sa2,0,0.12,0.119,True,88341,786432,786432,0,1579008,,,6,392357,,4.441391879195391,"{""anneal"": true, ""anneal_seconds"": 0.542}",False,
case_004,1,1,5,capls,sa3,0,0.147,0.146,True,88838,1462272,1462272,0,2254848,,,7,392357,,4.416544721853261,"{""anneal"": true, ""anneal_seconds"": 0.542}",False,
case_004,1,1,5,capls,_best,0,0.035,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""block_cap"": 0.35}",True,results\plans\case_004_p1_n5_capls_best.json
case_001,1,1,5,capls,c0,0,0.045,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,
case_001,1,1,5,capls,c1,0,0.046,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.15}",False,
case_001,1,1,5,capls,c2,0,0.034,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,1,1,5,capls,c3,0,0.033,0.114,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,1,1,5,capls,c4,0,0.047,0.22,True,88140,229248,229248,0,1868800,,,200,233110,,2.6447696845926933,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,1,1,5,capls,c5,0,0.044,0.22,True,88140,229248,229248,0,1868800,,,200,233110,,2.6447696845926933,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,1,1,5,capls,c6,0,0.039,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,1,1,5,capls,c7,0,0.039,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.08}",False,
case_001,1,1,5,capls,c8,0,0.17,0.206,True,90085,1847808,1847808,0,3487360,,,6,233110,,2.5876672031969807,"{""block_cap"": 0.005}",False,
case_001,1,1,5,capls,c9,0,0.033,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""max_ops"": 2000}",False,
case_001,1,1,5,capls,c10,0,0.03,0.102,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""cores_used"": 4}",False,
case_001,1,1,5,capls,c11,0,0.011,0.14,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_001,1,1,5,capls,c12,0,0.054,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_001,1,1,5,capls,c13,0,0.045,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_001,1,1,5,capls,sa1,0,0.0,0.133,True,55782,496128,496128,0,2135680,,,6,233110,,4.178946613602954,"{""anneal"": true, ""anneal_seconds"": 1.666}",False,
case_001,1,1,5,capls,sa2,0,0.112,0.109,True,55782,496128,496128,0,2135680,,,6,233110,,4.178946613602954,"{""anneal"": true, ""anneal_seconds"": 1.666}",False,
case_001,1,1,5,capls,sa3,0,0.0,0.133,True,55782,496128,496128,0,2135680,,,6,233110,,4.178946613602954,"{""anneal"": true, ""anneal_seconds"": 1.666}",False,
case_001,1,1,5,capls,_best,0,0.038,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,results\plans\case_001_p1_n5_capls_best.json
case_004,1,1,4,capls,c0,0,0.029,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35}",True,
case_004,1,1,4,capls,c1,0,0.025,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.15}",False,
case_004,1,1,4,capls,c2,0,0.024,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_004,1,1,4,capls,c3,0,0.024,0.081,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_004,1,1,4,capls,c4,0,0.024,0.183,True,252303,12165120,12165120,0,12957696,,,111,392357,,1.5551023967214024,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_004,1,1,4,capls,c5,0,0.024,0.183,True,252303,12165120,12165120,0,12957696,,,111,392357,,1.5551023967214024,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_004,1,1,4,capls,c6,0,0.025,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_004,1,1,4,capls,c7,0,0.025,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.08}",False,
case_004,1,1,4,capls,c8,0,0.079,0.241,True,118616,4104192,4104192,0,4896768,,,9,392357,,3.3077915289674245,"{""block_cap"": 0.005}",False,
case_004,1,1,4,capls,c9,0,0.025,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""max_ops"": 2000}",False,
case_004,1,1,4,capls,c10,0,0.018,0.111,True,134043,221184,221184,0,1013760,,,3,392357,,2.927098020784375,"{""block_cap"": 0.35, ""cores_used"": 3}",False,
case_004,1,1,4,capls,c11,0,0.012,0.119,True,199074,110592,110592,0,903168,,,2,392357,,1.9709103147573264,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_004,1,1,4,capls,c12,0,0.025,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_004,1,1,4,capls,c13,0,0.025,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_004,1,1,4,capls,sa1,0,0.176,0.173,True,104971,1554432,1554432,0,2347008,,,6,392357,,3.737765668613236,"{""anneal"": true, ""anneal_seconds"": 1.751}",False,
case_004,1,1,4,capls,sa2,0,0.161,0.16,True,107212,1477632,1477632,0,2270208,,,7,392357,,3.65963698093497,"{""anneal"": true, ""anneal_seconds"": 1.751}",False,
case_004,1,1,4,capls,sa3,0,0.001,0.192,True,104559,1250304,1250304,0,2042880,,,5,392357,,3.7524938073240945,"{""anneal"": true, ""anneal_seconds"": 1.751}",False,
case_004,1,1,4,capls,_best,0,0.038,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35}",True,results\plans\case_004_p1_n4_capls_best.json
case_001,1,1,4,capls,c0,0,0.045,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35}",True,
case_001,1,1,4,capls,c1,0,0.029,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.15}",False,
case_001,1,1,4,capls,c2,0,0.034,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,1,1,4,capls,c3,0,0.042,0.115,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,1,1,4,capls,c4,0,0.037,0.219,True,102300,229248,229248,0,1868800,,,200,233110,,2.278690127077224,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,1,1,4,capls,c5,0,0.025,0.219,True,102300,229248,229248,0,1868800,,,200,233110,,2.278690127077224,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,1,1,4,capls,c6,0,0.026,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,1,1,4,capls,c7,0,0.025,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.08}",False,
case_001,1,1,4,capls,c8,0,0.052,0.175,True,90901,1846656,1846656,0,3486208,,,5,233110,,2.5644382350029153,"{""block_cap"": 0.005}",False,
case_001,1,1,4,capls,c9,0,0.027,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""max_ops"": 2000}",False,
